oetuh,1,numletter,7,7,1,2,185,80,2,1,2,1,843
oetuh,1,numletter,7,7,1,3,271,80,3,2,3,1,1315
oetuh,1,numletter,7,7,1,4,357,80,4,3,4,1,2090
oetuh,1,numletter,7,7,1,5,442,80,5,4,5,1,2474
oetuh,1,numletter,7,7,1,6,528,80,6,5,6,1,3028
oetuh,1,numletter,7,7,1,7,614,80,7,6,7,1,3431
oetuh,1,numletter,7,7,2,7,614,150,14,7,8,1,3871
oetuh,1,numletter,7,7,3,7,614,220,21,8,9,1,4929
oetuh,1,numletter,7,7,2,6,528,150,13,9,10,1,5532
oetuh,1,numletter,7,7,2,5,442,150,12,10,11,1,6391
oetuh,1,numletter,7,7,3,6,528,220,20,11,12,1,7017
oetuh,1,numletter,7,7,3,5,442,220,19,12,13,1,7434
oetuh,1,numletter,7,7,2,4,357,220,11,13,14,0,7918
oetuh,1,numletter,7,7,2,4,357,220,11,14,14,0,9587
oetuh,1,numletter,7,7,3,4,357,220,18,15,14,1,10002
oetuh,1,numletter,7,7,3,3,271,220,17,16,15,1,10778
oetuh,1,numletter,7,7,2,4,357,150,11,17,16,1,11351
oetuh,1,numletter,7,7,2,3,271,150,10,18,17,1,11694
oetuh,1,numletter,7,7,2,2,185,150,9,19,18,1,12144
oetuh,1,numletter,7,7,2,1,100,150,8,20,19,1,13556
oetuh,1,numletter,7,7,3,2,185,220,16,21,20,1,14200
oetuh,1,numletter,7,7,4,3,271,290,24,22,21,1,16028
oetuh,1,numletter,7,7,5,3,271,360,31,23,22,1,16986
oetuh,1,numletter,7,7,4,2,185,290,23,24,23,1,17591
oetuh,1,numletter,7,7,3,1,100,220,15,25,24,1,18083
oetuh,1,numletter,7,7,4,1,100,290,22,26,25,1,18619
oetuh,1,numletter,7,7,5,1,100,360,29,27,26,1,19041
oetuh,1,numletter,7,7,5,2,185,360,30,28,27,1,19648
oetuh,2,num,7,7,1,2,185,80,2,1,2,1,794
oetuh,2,num,7,7,1,3,271,80,3,2,3,1,1153
oetuh,2,num,7,7,1,4,357,80,4,3,4,1,1696
oetuh,2,num,7,7,2,3,271,150,10,4,5,1,2432
oetuh,2,num,7,7,2,2,185,150,9,5,6,1,2819
oetuh,2,num,7,7,2,1,100,150,8,6,7,1,3116
oetuh,2,num,7,7,3,1,100,220,15,7,8,1,3567
oetuh,2,num,7,7,3,2,185,220,16,8,9,1,4049
oetuh,2,num,7,7,4,1,100,290,22,9,10,1,4533
oetuh,2,num,7,7,4,2,185,290,23,10,11,1,4983
oetuh,2,num,7,7,5,1,100,360,29,11,12,1,5461
oetuh,2,num,7,7,6,1,100,430,36,12,13,1,5972
oetuh,2,num,7,7,7,1,100,500,43,13,14,1,6633
oetuh,2,num,7,7,7,2,185,500,44,14,15,1,7102
oetuh,2,num,7,7,6,2,185,430,37,15,16,1,7589
oetuh,2,num,7,7,5,2,185,360,30,16,17,1,7938
oetuh,2,num,7,7,4,3,271,290,24,17,18,1,9133
oetuh,2,num,7,7,5,3,271,360,31,18,19,1,9551
oetuh,2,num,7,7,5,4,357,360,32,19,20,1,10302
oetuh,2,num,7,7,6,3,271,430,38,20,21,1,10857
oetuh,2,num,7,7,7,3,271,500,45,21,22,1,11252
oetuh,2,num,7,7,7,4,357,500,46,22,23,1,11658
oetuh,2,num,7,7,6,4,357,430,39,23,24,1,12003
oetuh,2,num,7,7,7,5,442,500,47,24,25,1,12519
oetuh,2,num,7,7,6,5,442,430,40,25,26,1,13240
oetuh,2,num,7,7,7,6,528,500,48,26,27,1,13887
oetuh,2,num,7,7,6,6,528,430,41,27,28,1,14346
oetuh,2,num,7,7,5,5,442,360,33,28,29,1,15194
oetuh,2,num,7,7,4,4,357,290,25,29,30,1,15901
oetuh,2,num,7,7,3,4,357,220,18,30,31,1,16275
oetuh,2,num,7,7,3,3,271,220,17,31,32,1,16692
oetuh,2,num,7,7,2,4,357,150,11,32,33,1,17343
oetuh,2,num,7,7,1,5,442,220,5,33,34,0,18135
oetuh,2,num,7,7,3,5,442,220,19,34,34,1,18867
oetuh,2,num,7,7,4,5,442,290,26,35,35,1,19294
