111,EN,Wed Nov  5 14:24:08 2025,DOTS TASK,keyboard,INITIATED
111,EN,Wed Nov  5 14:24:09 2025,DOTS TASK,keyboard,PRACTICE BEGIN
111,EN,Wed Nov  5 14:33:43 2025,dots ,keyboard,EXPERIMENT COMPLETE
1616,EN,Wed Nov  5 14:46:45 2025,DOTS TASK,keyboard,INITIATED
1616,EN,Wed Nov  5 14:46:47 2025,DOTS TASK,keyboard,PRACTICE BEGIN
1616,EN,Wed Nov  5 14:47:24 2025,DOTS TASK,keyboard,INITIATED
1616,EN,Wed Nov  5 14:47:25 2025,DOTS TASK,keyboard,PRACTICE BEGIN
1516,EN,Wed Nov  5 14:48:27 2025,DOTS TASK,keyboard,INITIATED
1516,EN,Wed Nov  5 14:48:29 2025,DOTS TASK,keyboard,PRACTICE BEGIN
51515,EN,Wed Nov  5 14:48:52 2025,DOTS TASK,keyboard,INITIATED
51515,EN,Wed Nov  5 14:48:53 2025,DOTS TASK,keyboard,PRACTICE BEGIN
151661,EN,Wed Nov  5 14:50:32 2025,DOTS TASK,keyboard,INITIATED
151661,EN,Wed Nov  5 14:50:34 2025,DOTS TASK,keyboard,PRACTICE BEGIN
1516,EN,Wed Nov  5 14:52:14 2025,DOTS TASK,keyboard,INITIATED
1516,EN,Wed Nov  5 14:52:16 2025,DOTS TASK,keyboard,PRACTICE BEGIN
6161,EN,Wed Nov  5 15:01:49 2025,DOTS TASK,keyboard,INITIATED
6161,EN,Wed Nov  5 15:01:51 2025,DOTS TASK,keyboard,PRACTICE BEGIN
116,EN,Wed Nov  5 15:02:19 2025,DOTS TASK,keyboard,INITIATED
116,EN,Wed Nov  5 15:02:20 2025,DOTS TASK,keyboard,PRACTICE BEGIN
