aoeuaeou,,Fri Dec 12 19:43:16 2025,ANT,shiftkeys,INITIATED
aoeuaeou,,Fri Dec 12 19:43:20 2025,ANT,shiftkeys,PRACTICE BEGIN
aaoeu,,Fri Dec 12 23:18:24 2025,ANT,shiftkeys,INITIATED
teoauh,,Fri Dec 12 23:18:41 2025,ANT,shiftkeys,INITIATED
thaeou,,Fri Dec 12 23:20:24 2025,ANT,shiftkeys,INITIATED
thaeou,,Fri Dec 12 23:20:48 2025,ANT,shiftkeys,PRACTICE BEGIN
,,Fri Dec 12 23:21:36 2025,ANT,shiftkeys,INITIATED
,,Fri Dec 12 23:21:39 2025,ANT,shiftkeys,PRACTICE BEGIN
_tht,,Sat Dec 13 01:03:34 2025,ANT,shiftkeys,INITIATED
_tht,,Sat Dec 13 01:03:36 2025,ANT,shiftkeys,PRACTICE BEGIN
bmb,,Sat Dec 13 01:19:22 2025,ANT,shiftkeys,INITIATED
bmb,,Sat Dec 13 01:19:31 2025,ANT,shiftkeys,PRACTICE BEGIN
aaa,,Sat Dec 13 16:26:57 2025,ANT,shiftkeys,INITIATED
aoeueoau,,Sat Dec 13 16:47:37 2025,ANT,shiftkeys,INITIATED
tht,,Sat Dec 13 17:02:08 2025,ANT,shiftkeys,INITIATED
tht,,Sat Dec 13 17:02:22 2025,ANT,shiftkeys,PRACTICE BEGIN
aoeuao,,Sat Dec 13 17:09:52 2025,ANT,shiftkeys,INITIATED
hdhd,,Sat Dec 13 17:10:25 2025,ANT,shiftkeys,INITIATED
bmb,,Sat Dec 13 17:10:59 2025,ANT,shiftkeys,INITIATED
thtuha,,Sat Dec 13 17:19:39 2025,ANT,shiftkeys,INITIATED
thtuha,,Sat Dec 13 17:19:44 2025,ANT,shiftkeys,PRACTICE BEGIN
tohuea,,Sat Dec 13 17:21:33 2025,ANT,shiftkeys,INITIATED
uhateouha,,Sat Dec 13 17:22:16 2025,ANT,shiftkeys,INITIATED
uhateouha,,Sat Dec 13 17:22:24 2025,ANT,shiftkeys,PRACTICE BEGIN
